,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Random,Heuristic,CAEBOriginal,CAEB,CAE,CAESL,CAEDL,CAESDL
668,21.0,25.0,3.0,4.0,0.0,0.0,0.0,0.4964684837598051,0.33701384269184737,0.6148758643971282,0.6373707125487718,0.5412605855863087,0.5408500890168029,0.5526631265019114,0.5546184266958005
669,21.0,25.0,3.0,4.0,3.0,0.0,0.0,0.4813978610379759,0.24778299956314107,0.3069037810092783,0.36218647490642386,0.2907644374107916,0.23896354079451743,0.3559073845317956,0.2649532428487821
670,21.0,25.0,3.0,4.0,2.0,0.0,0.0,0.6755418063370888,0.259290879667672,0.46411351143424523,0.38781686749829625,0.27189162983645226,0.2908009631763747,0.34117191149297754,0.29102478676913046
671,21.0,25.0,3.0,4.0,5.0,70.0,0.0,0.5823694929879192,0.1107686203989341,0.4243262841927356,0.3443370210451004,0.2655647264353805,0.23273534766601292,0.3043496975217032,0.2728445310440879
672,21.0,25.0,3.0,4.0,4.0,76.0,0.0,0.48243360906287946,0.036281113616950744,0.4385097383957867,0.3492752942325605,0.2599730967985069,0.2281078948287698,0.30294867341816806,0.2628105672979802
673,22.0,25.0,9.0,5.0,1.0,0.0,0.0,0.42555614627538924,0.2754892042914279,0.8423709910582742,0.916062071692306,0.8363918471602432,0.8354702924590248,0.9218914175866413,0.9159732132771652
674,22.0,25.0,9.0,5.0,0.0,0.0,0.0,0.4707343851949158,0.21505834777951305,0.8572157052670393,0.8973207117123694,0.8076725667610095,0.8187536138140367,0.8234141393904485,0.8335444025785306
675,22.0,25.0,9.0,5.0,3.0,74.0,0.0,0.43399272345899986,0.14941040832218525,0.7300035477116782,0.694962159684395,0.5936951890873173,0.5665605964527402,0.63479304789893,0.6549173716409923
676,22.0,25.0,9.0,5.0,2.0,50.0,0.0,0.6423127085277536,0.1581794431157112,0.7786348041073062,0.7911649635998346,0.7030269746159391,0.7000480432905275,0.7273346114438711,0.739694585580603
677,22.0,25.0,9.0,5.0,5.0,28.0,0.0,0.5753965804291432,0.1911070676023151,0.7193530971724705,0.5658236393448528,0.48250775601666707,0.600864884638444,0.6590563695200308,0.5181019802532016
678,22.0,25.0,9.0,5.0,4.0,30.0,0.0,0.5428734165234189,0.15516616435511696,0.7125733647885654,0.6235601397951962,0.545457811286936,0.5840302322983433,0.6529317420376236,0.6192628594460036
679,23.0,25.0,3.0,1.0,1.0,73.0,0.0,0.4866592489479411,0.1373922841403618,0.24064101900573467,0.2555396015994576,0.32143824355519335,0.21413450514915336,0.2690898933813001,0.29146890743078524
680,23.0,25.0,3.0,1.0,0.0,0.0,0.0,0.3802510451826323,0.1896471404435838,0.26296070034728547,0.2645021428884107,0.32897741368462186,0.24732234391638472,0.2924079703248974,0.3035724671019984
681,23.0,25.0,3.0,1.0,3.0,0.0,0.0,0.25591041185491703,0.21654585450074695,0.7127658164615531,0.7552903921598915,0.8411540539759581,0.7707332602736884,0.8054269293879769,0.8263561332294429
