,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,tim,adib,vae,cvae1,cvae2,cvae3,vaeb,cvae1b,cvae2b,cvae3b
76,12.0,12.0,11.0,0.0,2.0,47.0,0.0,0.28862371249387425,0.2866988545322508,0.5847681448587481,0.4719067133590991,0.5805873559785771,0.6543913556688553,0.5342189138215181,0.4748672625043855,0.4842438644115349,0.5663638867172468
77,12.0,12.0,11.0,0.0,5.0,0.0,0.0,0.36329028263469154,0.5700092899062947,0.6939899152948888,0.7559575852843275,0.7442518379406281,0.948024643091739,0.7220972331477312,0.7331362507501459,0.8413296832157263,0.7522684147176373
78,12.0,12.0,11.0,0.0,4.0,0.0,0.0,0.3089421820858601,0.522498128899765,0.6869614282918609,0.7176289766391895,0.7076137294384509,0.8453378089144438,0.6909944383966798,0.6812518848882974,0.7354658910460811,0.6635949524719899
79,13.0,12.0,3.0,3.0,1.0,0.0,0.0,0.27562848498540693,0.3640539433042441,0.3706258924498743,0.5012990881387728,0.5550820869958564,0.5684819744616175,0.5264414386176738,0.41960383340799806,0.459262902183072,0.4950892904868397
80,13.0,12.0,3.0,3.0,0.0,0.0,0.0,0.3207694091752486,0.3575118132795844,0.2993974114817089,0.4576423324941964,0.471924331523207,0.5028905142492099,0.41672728365497164,0.38851344640206426,0.41288507266622976,0.47510942727882643
81,13.0,12.0,3.0,3.0,3.0,28.0,0.0,0.258990318573597,0.20262885979988593,0.32924918913881196,0.12084392353042149,0.27367254353855175,0.23600871977916996,0.37008790206246367,0.32121384909412476,0.35265925724601965,0.3131944570311801
82,13.0,12.0,3.0,3.0,2.0,16.0,0.0,0.3308203008888142,0.21030906429957358,0.23736964377835973,0.1370198601447564,0.18445405807189708,0.21136383518203572,0.2926449284273695,0.22028880857893868,0.297406825511271,0.2764304471683533
83,13.0,12.0,3.0,3.0,5.0,55.0,0.0,0.34186988457947576,0.22719936644733532,0.2772554645041567,0.18184172432046014,0.19376069112716046,0.16753548194389764,0.3860477111350443,0.335842740438046,0.38800224947562223,0.39273956873862315
84,13.0,12.0,3.0,3.0,4.0,58.0,0.0,0.3425301059833597,0.23263468963906114,0.2538483850025034,0.16002619503014903,0.21840717027411008,0.17148230269695386,0.47549952207743623,0.34810499884348944,0.41739803646747436,0.41672950109183066
85,14.0,12.0,8.0,4.0,1.0,0.0,0.0,0.5608185683601971,0.595505026815573,0.6726279611229213,0.6904454082821295,0.7885838524728755,0.7379494176085196,0.6328488800470956,0.5898920418080275,0.6760266710095364,0.589897728598564
