,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
83,13.0,12.0,3.0,3.0,5.0,55.0,0.0,0.16925227882990104,0.22888604895817938,0.2059404577681173,0.19307537033630026,0.1542408539082061,0.2070262407151239
84,13.0,12.0,3.0,3.0,4.0,58.0,0.0,0.16954513973243013,0.34162283091244433,0.25646190069082725,0.24759613057770594,0.1786486545247803,0.22501939771455629
85,14.0,12.0,8.0,4.0,1.0,0.0,0.0,0.33839771131073565,0.6569769036608988,0.6821467290275639,0.6933164071763962,0.6639126778659538,0.6525188312241104
86,14.0,12.0,8.0,4.0,0.0,0.0,0.0,0.2790184317865359,0.5484752306863288,0.6057779465091493,0.6241028293493812,0.5354983166483115,0.5549782706910287
87,14.0,12.0,8.0,4.0,3.0,21.0,0.0,0.1825320647856888,0.3152410559339,0.18897060359963808,0.28121526897511034,0.3463176317626124,0.29107277074774024
88,14.0,12.0,8.0,4.0,2.0,13.0,0.0,0.16515465102744672,0.41292974223787837,0.49842409098005847,0.44882492692466375,0.4594682008403068,0.4284954135012636
89,14.0,12.0,8.0,4.0,5.0,61.0,0.0,0.15868372866823854,0.46830335171572207,0.38328619387483714,0.5410315405551323,0.4635147235394113,0.578853073809976
90,14.0,12.0,8.0,4.0,4.0,60.0,0.0,0.14528308975380347,0.34651817769041526,0.3429774084471924,0.4844741854686247,0.39389552323625576,0.4354306077063911
91,15.0,12.0,0.0,8.0,7.0,43.0,0.0,0.2953525075982087,0.047673808931933744,0.0531231003136835,0.0854479887627722,0.08588066645852291,0.08219784550590566
92,15.0,12.0,0.0,8.0,6.0,5.0,0.0,0.2725673512166726,0.06840899386048498,0.071435144352782,0.1122188169264634,0.11942348439294609,0.12777070029613405
93,15.0,12.0,0.0,8.0,9.0,39.0,0.0,0.23872015572242056,0.06428155505974557,0.05112969343412793,0.10877270179037393,0.08631810043067964,0.14250589967103425
94,15.0,12.0,0.0,8.0,8.0,4.0,0.0,0.20846324559681317,0.1455739536495858,0.15565400597148346,0.20780423041047852,0.2627865086002157,0.2547324254819904
95,15.0,12.0,0.0,8.0,11.0,10.0,0.0,0.9288340065715569,0.054718861711523605,0.06207527270699128,0.1253823107156682,0.0984922547276108,0.14216539911963352
